PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, GP, W, L, W_PCT, MIN, DEF_RATING, DREB, DREB_PCT, PCT_DREB, STL, PCT_STL, BLK, PCT_BLK, OPP_PTS_OFF_TOV, OPP_PTS_2ND_CHANCE, OPP_PTS_FB, OPP_PTS_PAINT, DEF_WS, GP_RANK, W_RANK, L_RANK, W_PCT_RANK, MIN_RANK, DEF_RATING_RANK, DREB_RANK, DREB_PCT_RANK, PCT_DREB_RANK, STL_RANK, PCT_STL_RANK, BLK_RANK, PCT_BLK_RANK, OPP_PTS_OFF_TOV_RANK, OPP_PTS_2ND_CHANCE_RANK, OPP_PTS_FB_RANK, OPP_PTS_PAINT_RANK, DEF_WS_RANK, CFPARAMS
213, Antonio Davis, 1610612741, CHI, 35.0, 80, 27, 53, 0.338, 32.2, 99.2, 5.8, 0.203, 0.283, 0.5, 0.097, 0.8, 0.263, 10.7, 8.5, 8.0, 24.3, 0.036, 61, 216, 424, 354, 85, 171, 25, 66, 66, 269, 396, 65, 125, 361, 344, 353, 333, 74, 213,1610612741
686, Antonio McDyess, 1610612756, PHX, 29.0, 42, 18, 24, 0.429, 22.1, 98.0, 4.5, 0.222, 0.305, 0.9, 0.23, 0.6, 0.324, 8.5, 6.4, 6.0, 18.1, 0.028, 305, 303, 169, 281, 185, 132, 63, 36, 47, 128, 127, 93, 98, 290, 263, 282, 268, 123, 686,1610612756
1506, Austin Croshere, 1610612754, IND, 29.0, 77, 57, 20, 0.74, 13.6, 95.8, 2.4, 0.213, 0.291, 0.3, 0.14, 0.2, 0.154, 4.8, 3.3, 3.4, 9.3, 0.021, 102, 7, 132, 22, 294, 81, 203, 50, 56, 337, 335, 272, 196, 151, 108, 139, 123, 199, 1506,1610612754
422, Avery Johnson, 1610612744, GSW, 39.0, 46, 22, 24, 0.478, 13.8, 101.0, 0.7, 0.055, 0.078, 0.6, 0.257, 0.1, 0.041, 4.6, 4.3, 3.6, 12.3, 0.013, 292, 261, 169, 225, 287, 261, 403, 430, 429, 225, 72, 364, 357, 137, 168, 151, 184, 295, 422,1610612744
1884, Baron Davis, 1610612740, NOH, 25.0, 67, 36, 31, 0.537, 40.1, 98.2, 3.3, 0.095, 0.133, 2.4, 0.319, 0.4, 0.117, 12.2, 11.2, 9.2, 30.3, 0.051, 191, 133, 255, 157, 9, 141, 114, 337, 344, 2, 21, 136, 232, 408, 425, 404, 410, 31, 1884,1610612740
1052, Ben Handlogten, 1610612762, UTA, 30.0, 17, 9, 8, 0.529, 10.1, 110.0, 1.9, 0.244, 0.347, 0.2, 0.15, 0.2, 0.211, 4.1, 2.6, 2.6, 7.6, -0.003, 377, 368, 66, 164, 365, 424, 249, 20, 13, 393, 303, 221, 155, 98, 76, 91, 86, 422, 1052,1610612762
1112, Ben Wallace, 1610612765, DET, 29.0, 81, 54, 27, 0.667, 37.8, 91.9, 8.4, 0.254, 0.354, 1.8, 0.274, 3.0, 0.511, 11.5, 9.8, 8.2, 26.9, 0.079, 43, 22, 209, 67, 25, 34, 3, 11, 10, 11, 57, 2, 32, 390, 391, 358, 382, 3, 1112,1610612765
902, Bimbo Coles, 1610612748, MIA, 36.0, 22, 6, 16, 0.273, 7.6, 104.1, 0.4, 0.06, 0.082, 0.1, 0.158, 0.0, 0.0, 3.1, 1.9, 2.3, 5.5, 0.004, 360, 387, 112, 403, 390, 358, 424, 428, 428, 407, 288, 398, 398, 61, 37, 69, 49, 388, 902,1610612748
448, Bo Outlaw, 1610612763, MEM, 33.0, 82, 50, 32, 0.61, 19.7, 91.4, 2.6, 0.156, 0.228, 0.9, 0.202, 0.9, 0.302, 5.9, 5.6, 4.3, 13.6, 0.041, 3, 34, 266, 110, 222, 30, 174, 166, 151, 126, 196, 60, 110, 194, 227, 192, 206, 48, 448,1610612763
682, Bob Sura, 1610612737, ATL, 31.0, 80, 42, 38, 0.525, 20.7, 101.8, 2.8, 0.158, 0.225, 0.8, 0.224, 0.2, 0.097, 6.4, 6.1, 5.2, 16.8, 0.016, 61, 74, 318, 170, 202, 293, 159, 159, 159, 158, 140, 278, 263, 207, 250, 242, 247, 245, 682,1610612737
