Player,<5Ft FGM,<5Ft FGA,<5Ft FG%,5-9 Ft FGM,5-9 Ft FGA,5-9 Ft FG%,10-14 Ft FGM,10-14 Ft FGA,10-14 Ft FG%,15-19 Ft FGM,15-19 Ft FGA,15-19 Ft FG%,20-24 Ft FGM,20-24 Ft FGA,20-24 Ft FG%,25-29 Ft FGM,25-29 Ft FGA,25-29 Ft FG%,Year
Chris Webber,13.8,25.8,0.535,2.6,5.6,0.457,3.3,8.9,0.371,5,11.9,0.419,4.7,11.8,0.401,0.8,2.4,0.343,1996
Chris Whitney,4.7,8.9,0.523,0.9,2.2,0.398,1,2.7,0.361,1.4,3.5,0.404,1.6,4.4,0.36,0.4,1.2,0.333,1996
Christian Laettner,11.5,23,0.498,2.3,5.7,0.404,3,8,0.373,4.5,10.9,0.409,4.7,12.9,0.363,0.4,1.4,0.255,1996
Chucky Brown,4.2,6.8,0.62,0.9,2.1,0.412,1.1,2.6,0.41,1,2.6,0.408,1.1,3.2,0.341,0.5,1.6,0.309,1996
Clar. Weatherspoon,15,27.6,0.545,2.6,5.3,0.488,3.3,8.2,0.396,3.9,9.1,0.425,4.4,10.3,0.425,1.7,5.3,0.312,1996
Clifford Robinson,12.3,24,0.514,3.3,7.7,0.433,2.9,7.3,0.39,3.6,8.8,0.405,4.9,12.8,0.384,0.6,1.6,0.352,1996
Clifford Rozier,6.1,10.4,0.591,1.6,3.8,0.427,1.7,3.7,0.452,1.8,4.1,0.449,2.6,6.6,0.387,0.5,1.1,0.412,1996
Clyde Drexler,11.6,22,0.529,3,7,0.42,2.5,6.4,0.392,5,12.6,0.394,5.3,14.6,0.364,0.6,1.1,0.488,1996
Corie Blount,6.4,11.9,0.542,1.4,3.6,0.376,1.5,4.1,0.379,1.8,4.1,0.439,2,5.6,0.355,0.4,1.4,0.3,1996
Corliss Williamson,8.4,13.9,0.604,2.6,5.8,0.45,2.2,5.4,0.4,2.9,7.6,0.382,3.1,8.1,0.389,0.4,1.3,0.273,1996
Cory Alexander,6.3,11.4,0.555,1.4,2.9,0.466,1.1,2.9,0.363,1.7,4.6,0.367,3.2,7.3,0.431,0.4,1.2,0.324,1996
Craig Ehlo,4.3,8.3,0.523,0.9,2.2,0.424,1,2.6,0.393,1.3,3.2,0.421,2.2,5.5,0.398,0.5,1.2,0.407,1996
Cuonzo Martin,1.7,2.7,0.625,1,2,0.5,0.7,1,0.667,0,1,0,0.3,0.7,0.5,0,0,0,1996
Dale Davis,10,18.2,0.552,1.8,4.7,0.379,2.7,6.8,0.403,3.9,9.2,0.419,4.5,11.4,0.393,0.3,1.4,0.216,1996
Dale Ellis,14.1,25.9,0.546,3.1,6.8,0.451,2.6,6.9,0.377,5.2,12,0.43,4.5,11,0.411,0.5,1.3,0.37,1996
Damon Stoudamire,15.4,26.5,0.582,3,7.2,0.409,3.1,7.8,0.393,3.5,8.5,0.411,5.4,14.3,0.38,0.5,1.4,0.38,1996
Dan Majerle,10,18.3,0.549,3,8.5,0.353,2.8,8.1,0.345,3.9,9.1,0.426,3.5,9.4,0.373,0.4,1.3,0.343,1996
Dan Schayes,4.1,7.4,0.56,0.9,2.4,0.37,0.9,2.4,0.367,1.3,3.2,0.41,1.4,4.2,0.34,0.1,0.5,0.167,1996
Dana Barros,14.3,28.2,0.509,1.3,2.6,0.516,2.6,4,0.646,2.6,4.8,0.543,3.3,9.2,0.357,0.2,0.9,0.188,1996
Danny Ferry,9.4,15.8,0.594,2.2,5.6,0.391,1.9,5.7,0.333,3,7.2,0.421,3.8,9.8,0.388,0.4,1,0.391,1996
Danny Manning,9.8,16.1,0.608,2,5.1,0.387,2.1,5.4,0.391,3,7.3,0.406,4.2,11.5,0.368,0.5,1.1,0.439,1996
Darrell Armstrong,5.2,9.7,0.541,1.2,2.7,0.433,1.2,3,0.413,1.5,3.7,0.423,1.8,4.9,0.373,0.3,0.7,0.412,1996
Darrick Martin,9.1,15.7,0.579,1.7,3.8,0.464,1.3,3.5,0.369,2.3,5.9,0.397,3.3,7.9,0.42,0.3,0.9,0.351,1996
Darrin Hancock,1.9,3.6,0.523,0.5,1.1,0.412,0.6,1.1,0.542,0.9,1.8,0.486,0.7,2.2,0.32,0.8,1.8,0.444,1996
Darvin Ham,2.7,5.2,0.522,0.6,2,0.321,0.8,1.7,0.449,1.5,3.7,0.402,1.3,3.1,0.4,0.2,0.6,0.286,1996
David Robinson,7.5,14.2,0.529,0.7,2.5,0.267,2.8,6.8,0.415,2.7,6.8,0.39,3.8,10.2,0.377,0.3,1.3,0.25,1996
David Vaughn,3.2,5.8,0.557,0.9,2.1,0.431,0.6,2.1,0.264,1.2,3.3,0.358,1.1,3.2,0.347,0.2,1.5,0.111,1996
David Wesley,19.4,35.8,0.542,2.5,4.5,0.567,2.8,5.4,0.511,3.7,7.2,0.514,5.4,13.4,0.404,0.6,1.6,0.405,1996
David Wingate,4.7,8.6,0.543,0.8,1.9,0.394,0.9,2.3,0.376,1.4,3.4,0.411,2.6,6.4,0.406,0.4,1.1,0.414,1996
David Wood,1.7,2.8,0.625,0.5,1.2,0.432,0.8,1.8,0.434,0.8,1.8,0.433,0.7,1.9,0.356,0.3,0.9,0.333,1996
Dean Garrett,9.1,16.7,0.546,2,4.8,0.409,1.5,4.1,0.365,2.2,6.2,0.358,3.4,8.4,0.408,0.4,1.1,0.324,1996
