Player,<5Ft FGM,<5Ft FGA,<5Ft FG%,5-9 Ft FGM,5-9 Ft FGA,5-9 Ft FG%,10-14 Ft FGM,10-14 Ft FGA,10-14 Ft FG%,15-19 Ft FGM,15-19 Ft FGA,15-19 Ft FG%,20-24 Ft FGM,20-24 Ft FGA,20-24 Ft FG%,25-29 Ft FGM,25-29 Ft FGA,25-29 Ft FG%,Year
Roger Mason Jr.,2.5,4.2,0.593,0.5,1.4,0.391,0.8,1.8,0.412,1.1,2.6,0.406,1.2,2.7,0.441,0.6,1.8,0.337,2006
Roger Powell,1.7,1.7,1,0,0,0,0,0,0,1.3,2,0.667,1,1.3,0.75,0,1,0,2006
Ronald Dupree,1.8,3.1,0.586,0.6,1.1,0.5,0.3,1,0.333,0.8,2.3,0.333,1.1,2.5,0.457,0.4,1.1,0.385,2006
Ronnie Brewer,4.5,7.1,0.635,1.1,2.3,0.459,0.6,1.5,0.414,1,2.9,0.337,1.8,4.9,0.379,0.6,1.9,0.338,2006
Ronnie Price,3.3,5.2,0.637,0.7,1.9,0.373,0.7,1.6,0.4,1.4,3.4,0.414,1.6,4,0.394,0.6,1.7,0.359,2006
Ronny Turiaf,5.1,8.9,0.57,1,2.5,0.425,0.9,2.3,0.382,1.8,4.1,0.438,1.4,3.9,0.358,1.1,3.3,0.326,2006
Royal Ivey,3.8,6.5,0.58,1.1,2.1,0.52,0.7,1.9,0.385,1.2,2.9,0.399,1.2,2.6,0.47,1,2.7,0.383,2006
Ruben Patterson,12.1,19.4,0.623,1.6,3.7,0.416,1.8,4.9,0.372,3.9,9.6,0.405,3.3,8.3,0.398,2.2,6.2,0.362,2006
Rudy Gay,10.3,17.2,0.598,1.9,4.3,0.44,1.6,3.6,0.452,3.2,7.5,0.422,3.2,8.3,0.392,1.9,5.2,0.368,2006
Ryan Gomes,11.8,19.4,0.608,1.7,4.4,0.379,1.7,4,0.418,4.1,9.7,0.42,3.8,9.2,0.416,1.4,3.8,0.361,2006
Ryan Hollins,2.5,4.1,0.609,0.6,1.1,0.538,0.7,1.3,0.526,1.2,2.8,0.407,1.6,3,0.514,0.3,1.1,0.294,2006
Salim Stoudamire,6.6,11,0.598,1.1,2.6,0.421,0.9,2.1,0.423,2.4,5.9,0.396,1.3,3.9,0.332,1.2,3.7,0.319,2006
Sam Cassell,7.6,13.5,0.559,1.8,3.9,0.469,1.7,3.5,0.468,2.8,7.4,0.379,2.4,6.6,0.373,1.5,4.9,0.304,2006
Samuel Dalembert,10.7,18.4,0.583,1.8,4.5,0.399,1.7,4.4,0.391,4.3,10.2,0.423,3,7.7,0.382,1.8,5.5,0.329,2006
Sarunas Jasikevicius,5.9,9.8,0.603,0.8,2.6,0.306,0.8,2.5,0.319,2.1,5.1,0.405,1.4,4.2,0.343,1.1,2.6,0.417,2006
Sasha Pavlovic,7.5,12.7,0.592,1.4,3.4,0.4,1.6,4.2,0.386,2.8,7.8,0.36,2.3,6.9,0.331,0.9,2.8,0.312,2006
Sasha Vujacic,4.5,7.6,0.588,0.9,2.4,0.383,0.9,2.2,0.433,1.5,3.7,0.41,1.2,3,0.393,0.8,2.1,0.386,2006
Scot Pollard,1.3,2.2,0.585,0.6,0.9,0.667,0.2,0.7,0.3,0.9,2.3,0.396,0.5,1.6,0.324,0.2,0.7,0.25,2006
Scott Padgett,2,3.4,0.585,0.8,1.5,0.514,0.9,2.4,0.372,0.9,2.8,0.333,0.7,2.5,0.268,0.7,1.7,0.415,2006
Sean Marks,2.3,3,0.778,0,2,0,0.5,0.5,1,1,2,0.5,0.7,2,0.333,0.5,1.5,0.333,2006
Sean May,8.6,15.1,0.569,1.5,3.6,0.426,1,3.1,0.327,3.2,8.2,0.394,2,6.2,0.323,1.6,3.6,0.437,2006
Sebastian Telfair,7.4,12.5,0.595,1,3,0.336,1,2.7,0.372,2.4,6.1,0.386,2.3,5.4,0.425,0.9,2.7,0.321,2006
Sergio Rodriguez,4.7,7.8,0.606,0.9,2.1,0.433,0.7,1.8,0.416,1.3,3.1,0.404,2,5,0.39,0.5,1.6,0.323,2006
Shammond Williams,3.6,6,0.598,0.6,2,0.319,0.6,1.8,0.349,1.6,3.9,0.396,1.1,3.3,0.337,1.3,3.2,0.407,2006
Shane Battier,9.1,17.3,0.524,2.5,6,0.427,2.6,6.3,0.403,5.3,13.4,0.397,3.8,10.2,0.371,2.3,6.3,0.364,2006
Shannon Brown,3.9,6,0.645,0.9,1.9,0.448,0.5,1.3,0.391,0.9,2.7,0.316,1,2.7,0.377,0.8,1.8,0.429,2006
Shaquille O'Neal,7.3,12.1,0.604,2,4.9,0.398,1.8,4.5,0.398,4.5,11.1,0.407,3.3,8.7,0.381,1.2,3.6,0.338,2006
Shareef Abdur-Rahim,8.7,13.5,0.645,2.4,4.9,0.494,1.4,3.2,0.428,3.2,7.9,0.397,3.7,9.4,0.394,1.1,3.3,0.343,2006
Shaun Livingston,10.5,18.1,0.58,2.3,5.4,0.419,1.8,3.9,0.446,3.6,8.9,0.402,3,8.1,0.369,1.9,5.4,0.35,2006
Shavlik Randolph,4.6,8.8,0.526,1.1,2.7,0.406,0.7,2.7,0.25,1,3.2,0.31,0.8,2.2,0.357,0.7,2.5,0.267,2006
Shawn Marion,13,21.2,0.615,3.1,7.7,0.4,2.7,6.7,0.398,5.5,14.6,0.38,4.1,10.1,0.402,2.6,7.1,0.37,2006
Shawne Williams,4.1,6.9,0.593,1.2,2.3,0.513,0.8,2.2,0.338,2.1,4.7,0.439,1.5,3.8,0.399,0.7,2.1,0.319,2006
Shelden Williams,7,12.2,0.572,1.3,3.1,0.404,1.1,2.6,0.419,2.3,5.9,0.391,1.3,3.6,0.363,1.4,3.6,0.394,2006
Slava Medvedenko,2.1,3.7,0.577,0.1,0.7,0.2,0.4,1.1,0.4,0.6,1.3,0.438,0.3,0.8,0.444,0.8,2,0.4,2006
Smush Parker,11.5,19.3,0.594,2.4,5.4,0.437,1.8,4.5,0.394,3.7,8.8,0.423,3.2,7.4,0.433,2,6.1,0.329,2006
Solomon Jones,4.6,7.7,0.595,1,2.3,0.444,0.6,1.3,0.446,1.7,3.9,0.444,1.1,2.7,0.407,1,2.9,0.358,2006
Speedy Claxton,8.4,15.5,0.541,1.2,3.3,0.353,1.1,3.1,0.372,3.3,8,0.417,1.6,4.7,0.348,2.1,4.6,0.449,2006
Stephen Graham,4.9,7,0.694,1,1.7,0.579,1.1,2,0.55,1.1,3.1,0.351,2,5.2,0.388,0.6,2.6,0.217,2006
Stephen Jackson,11.8,20.4,0.576,2.1,5.3,0.388,1.8,4.8,0.381,4,10.5,0.384,3.2,8.4,0.378,2.1,5.5,0.386,2006
Stephon Marbury,12.3,20.1,0.613,2.6,6.6,0.391,1.8,4.8,0.37,4.7,11.9,0.397,5.4,12.6,0.428,1.8,4.9,0.366,2006
Steve Blake,9.9,16.3,0.609,1.9,4.5,0.42,1.6,3.9,0.41,3.7,9.1,0.409,3.5,8.9,0.399,1.6,4.7,0.348,2006
Steve Francis,8,13.8,0.579,1.7,4.8,0.351,1.4,3.8,0.361,3.8,9.3,0.404,4.6,9.9,0.467,1.4,4,0.36,2006
Steve Nash,12.4,20.4,0.608,3,7.3,0.414,2.6,6.7,0.393,5.1,13.5,0.375,4,9.7,0.412,2.4,6.8,0.357,2006
Steve Novak,1.2,2.2,0.566,0.6,1.5,0.395,0.9,1.8,0.5,1,2.4,0.4,0.9,2.3,0.381,0.3,1.1,0.258,2006
Steven Hunter,8.3,14,0.594,1.5,3.7,0.394,1.2,3.3,0.38,3.4,8,0.422,2.4,6.4,0.385,1.4,4.3,0.328,2006
Steven Smith,1,1.9,0.533,0,2,0,0.8,1,0.75,0.4,0.6,0.667,1.7,2,0.833,0.3,1.7,0.2,2006
Stromile Swift,6.4,10.5,0.611,1.3,3,0.422,0.9,2.1,0.444,2.2,5.3,0.42,2.5,6.4,0.394,1.9,4.9,0.395,2006
T.J. Ford,9.5,16.6,0.571,2.7,5.6,0.484,1.7,3.9,0.434,4.2,10.6,0.396,4,10.8,0.37,1.3,3.5,0.381,2006
Tarence Kinsey,8,13.3,0.6,1.3,3.2,0.423,1.3,3.1,0.426,2.4,5.5,0.44,2.9,7.1,0.401,2.1,5,0.416,2006
Tayshaun Prince,12.6,21.7,0.58,1.8,5.4,0.339,1.7,4.8,0.354,5.1,12.9,0.4,3.3,8.5,0.384,1.7,5,0.336,2006
Thabo Sefolosha,3.3,6,0.55,0.7,1.8,0.374,0.6,1.7,0.318,1.5,4.2,0.365,1.6,4.3,0.371,0.7,2,0.336,2006
Theo Ratliff,9,16.5,0.545,2.5,5.5,0.455,0,1,0,4,8.5,0.471,3,5,0.6,4,6,0.667,2006
Tim Duncan,10.3,20.2,0.513,2.6,6.6,0.402,2.4,6,0.395,4.6,10.9,0.423,3.1,8.3,0.374,1,3.4,0.302,2006
Tim Thomas,8.6,15.4,0.555,1.9,4.5,0.411,1.5,3.3,0.441,3.3,8.4,0.388,2.7,7.6,0.361,1.5,5.3,0.286,2006
Tony Allen,9.8,16.2,0.606,1.5,3.5,0.413,1.4,3.4,0.409,3.3,8.1,0.407,2.6,7,0.368,0.9,3.3,0.281,2006
Tony Battie,6.3,11.5,0.546,1.8,4.2,0.417,1.3,3.4,0.391,3.5,8.6,0.411,2.6,7,0.372,1.3,3.4,0.379,2006
Tony Parker,10.4,19.5,0.535,2.7,6.3,0.432,2.4,5.9,0.407,4.4,10.5,0.417,2.9,8,0.37,1,3.1,0.313,2006
Tracy McGrady,8.8,16.6,0.531,2.6,6,0.426,2.6,6.4,0.408,5.3,13.3,0.401,3.8,10.4,0.364,2.2,6.1,0.366,2006
Travis Diener,3.3,5.8,0.559,0.9,2.4,0.362,0.4,1.6,0.24,1,3.6,0.276,1.9,4.2,0.45,0.7,2,0.364,2006
Travis Outlaw,8.5,14.1,0.601,1.3,3.3,0.39,1.3,2.9,0.436,2.2,5.2,0.415,3.3,9.1,0.361,0.7,2.9,0.245,2006
Trenton Hassell,10.4,17.5,0.595,1.9,4.2,0.448,1.8,4.6,0.384,4.1,10.6,0.382,3.7,9.2,0.403,1.4,4.6,0.311,2006
Trevor Ariza,6.6,11.6,0.574,1.4,3.2,0.425,0.9,2.7,0.331,2.2,7,0.315,2.5,6.5,0.38,1.1,3.5,0.308,2006
Troy Hudson,5.5,9.4,0.579,1.2,2.7,0.424,0.8,2.2,0.348,2,5.1,0.399,2.2,5.5,0.393,1,2.7,0.378,2006
Troy Murphy,9.8,16.7,0.586,1.8,4.3,0.416,1.4,3.5,0.414,3.8,9.2,0.412,3.1,7.9,0.397,1.6,4.2,0.375,2006
Tyronn Lue,10.2,17.3,0.593,1.6,3.9,0.415,1.1,2.6,0.424,3.3,7.9,0.415,1.9,5.1,0.381,1.8,5,0.357,2006
Tyrus Thomas,3.8,7.3,0.523,0.7,2.1,0.326,0.7,2,0.357,1.5,4.4,0.334,1.3,3.9,0.318,1.1,2.5,0.429,2006
Tyson Chandler,11.4,19.3,0.594,2.1,5.1,0.42,2,4.8,0.406,4.5,10.9,0.407,5.1,13.1,0.388,1.4,4.1,0.355,2006
Udonis Haslem,9.6,16.4,0.585,1.9,5.1,0.384,1.8,4.7,0.397,4.6,11.3,0.405,3.7,10.1,0.37,1.7,4.8,0.352,2006
Uros Slokar,1.4,2.2,0.651,0.4,0.5,0.75,0.8,2.4,0.333,0.6,1.1,0.538,1.1,1.9,0.56,0.5,1.3,0.4,2006
Vassilis Spanoulis,2.5,4.4,0.57,0.7,1.9,0.392,0.6,1.9,0.333,1.2,3.6,0.333,0.9,2.5,0.366,0.6,1.8,0.326,2006
Viktor Khryapa,2.2,3.6,0.597,0.4,1.1,0.375,0.3,1,0.35,0.9,2.1,0.441,1.1,3,0.367,0.7,1.7,0.426,2006
Vince Carter,11.3,19.6,0.578,2.3,5.5,0.421,2.1,5.1,0.409,5.2,13.3,0.392,5.5,13,0.423,1.6,5.3,0.299,2006
Vitaly Potapenko,1.3,2,0.667,0.5,2.5,0.2,0,0,0,0,1.3,0,1,3,0.333,1,1.5,0.667,2006
Vladimir Radmanovic,6.7,10.7,0.625,1.5,3.4,0.442,0.9,2.6,0.346,1.7,5.2,0.335,1.9,4.8,0.4,1.1,3.4,0.313,2006
Von Wafer,1,3,0.333,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2006
Wally Szczerbiak,10.7,18,0.592,1.8,4.7,0.393,1.4,3.6,0.395,4,9,0.444,3,7.8,0.38,1.2,3.1,0.38,2006
Walter Herrmann,7.1,12.3,0.581,1.5,3.3,0.447,0.7,2.2,0.33,2.3,5.8,0.392,2.1,5.4,0.399,1,3.2,0.323,2006
Wayne Simien,3.1,5.5,0.568,0.7,1.6,0.455,0.9,1.5,0.583,0.4,1.7,0.25,2.5,5.3,0.476,0.4,1.1,0.375,2006
Will Blalock,3.1,6.4,0.494,0.7,2.1,0.333,0.8,2.2,0.379,2.1,4.9,0.435,0.9,2.5,0.371,0.5,1.3,0.353,2006
Will Conroy,2.3,3.7,0.615,0.3,2.3,0.111,0,1.5,0,0.8,2.7,0.313,0.6,2.4,0.25,0.8,1.7,0.5,2006
Willie Green,9.3,15.1,0.613,1.5,3.7,0.403,1.4,3.6,0.398,3.3,8,0.419,2.4,6.3,0.387,1.6,4.6,0.36,2006
Yakhouba Diawara,6.5,11.4,0.575,1.6,3.7,0.418,0.9,2.9,0.318,2.5,6.4,0.383,2.6,7,0.379,1.1,3.1,0.344,2006
Yao Ming,8.5,16.5,0.518,2.3,5.5,0.427,2.6,6.5,0.403,5,12.6,0.394,3.4,9.1,0.37,2.3,6.4,0.367,2006
Yaroslav Korolev,1.7,2.1,0.81,0.7,1.3,0.5,0.2,0.8,0.25,0.6,1.4,0.4,0.8,1.5,0.556,0.5,1.2,0.429,2006
Zach Randolph,13.3,22.1,0.601,2.1,5.2,0.401,1.7,4.2,0.398,4,9.3,0.427,4.6,12,0.384,1.4,3.8,0.362,2006
Zaza Pachulia,10.1,17.7,0.572,1.5,3.9,0.389,1.3,3.4,0.397,3.6,8.9,0.407,2.2,5.8,0.38,1.9,5,0.39,2006
Zydrunas Ilgauskas,8.6,14.5,0.593,1.7,4.5,0.372,1.7,4.5,0.385,3.7,9.2,0.401,2.8,7.6,0.372,1,2.8,0.349,2006
Aaron Brooks,3.6,5.9,0.62,1,2.7,0.368,1,2.3,0.438,1.7,4.4,0.383,1.2,3.5,0.355,0.7,2.1,0.337,2007
Aaron Gray,2.9,4.9,0.58,0.5,1.3,0.42,0.9,1.8,0.495,1.3,3.5,0.363,1.6,4.1,0.398,0.6,1.9,0.317,2007
Aaron Williams,3.8,6.4,0.597,0.6,1.8,0.333,0.6,1.6,0.381,1.3,3.1,0.42,1.2,2.4,0.507,0.8,2.2,0.373,2007
Acie Law,5.6,9.7,0.582,1.2,2.7,0.437,0.9,2.5,0.347,2.2,5.2,0.423,1.5,3.9,0.401,1.3,3.3,0.391,2007
Adonal Foyle,2.9,5.3,0.55,0.7,2,0.362,0.6,1.7,0.357,1.2,2.9,0.436,1.1,3.1,0.356,0.6,1.7,0.367,2007
Adrian Griffin,2,4,0.496,0.4,1.2,0.323,0.8,1.8,0.468,1.4,3.2,0.43,1.3,3.2,0.409,0.6,2.1,0.268,2007
Al Harrington,10.2,16.8,0.606,2.1,4.6,0.458,1.5,4,0.382,3.5,8.4,0.415,3.1,7.4,0.415,1.9,5.4,0.356,2007
Al Horford,11.7,19.6,0.594,2,5,0.394,1.4,3.8,0.375,4.3,10.7,0.402,3,7.4,0.409,2.2,6,0.36,2007
Al Jefferson,12.9,20.4,0.63,2.1,5.1,0.405,1.7,4.3,0.399,4.8,10.9,0.445,4.7,12,0.393,2,5.5,0.358,2007
Al Thornton,10.4,17,0.608,1.7,4.4,0.393,1.7,4.1,0.417,3.2,7.6,0.425,3.2,8.3,0.389,1.6,4.8,0.331,2007
Alando Tucker,1.3,2.8,0.471,2.3,4.3,0.538,1.3,3.5,0.357,1,2.7,0.375,0.8,2.5,0.333,0.4,2.8,0.143,2007
Alexander Johnson,3.8,5.5,0.702,1.1,2.2,0.487,0.7,1.9,0.382,2,4.7,0.432,1.9,4.8,0.391,0.8,2,0.414,2007
Allen Iverson,14.9,25.2,0.592,2.6,7.2,0.37,2.2,5.7,0.391,6.3,14.7,0.427,6.4,16.2,0.394,2.5,7.4,0.346,2007
Alonzo Mourning,4.6,8.8,0.516,1.1,2.8,0.38,0.8,2.1,0.385,1.9,4.9,0.393,2.1,5.3,0.398,0.8,2.7,0.279,2007
Amar'e Stoudemire,12,20.6,0.585,3,8.3,0.361,2.7,6.3,0.426,5.5,12.9,0.428,4,9.8,0.409,2,5.3,0.376,2007
Amir Johnson,3.3,6.7,0.486,0.4,1.6,0.232,0.6,1.6,0.337,1.5,3.9,0.392,1.2,3.4,0.359,0.9,3.1,0.297,2007
Anderson Varejao,8.9,15.1,0.59,1.4,3.5,0.391,1.2,3.5,0.356,3.4,8.3,0.411,3.4,8.8,0.389,1.2,4.1,0.289,2007
Andray Blatche,6.8,11.2,0.611,1.3,3,0.441,0.8,2.2,0.341,2.3,5.8,0.396,2.8,6.9,0.401,1.7,4.5,0.38,2007
Andre Barrett,2,3.5,0.571,0.5,1.5,0.333,0.5,0.5,1,1,2.5,0.4,0.3,2,0.125,1.3,1.8,0.714,2007
Andre Brown,3.8,5.4,0.704,0.9,1.8,0.488,0.5,1.2,0.414,1.3,3.1,0.398,1.2,3.3,0.364,0.9,2.2,0.424,2007
Andre Iguodala,13.9,23.7,0.585,2.2,5.7,0.396,1.9,5.1,0.379,4.5,10.8,0.412,4.6,11.4,0.4,2.7,7.7,0.349,2007
Andre Miller,13.1,22.5,0.585,2.2,5.5,0.407,1.8,4.8,0.382,4.2,10.2,0.415,4.2,10.5,0.405,2.6,7.1,0.36,2007
Andre Owens,3.8,6.8,0.561,0.8,2.2,0.379,0.6,2.3,0.255,2.1,5.6,0.373,1.7,3.9,0.439,0.9,2.9,0.296,2007
Andrea Bargnani,8.3,13.2,0.628,1.6,4.1,0.405,1.1,3,0.377,2.6,6.7,0.393,3.8,9.6,0.394,1.2,3.2,0.382,2007
Andrei Kirilenko,11.4,18.5,0.618,2,5.1,0.39,1.4,3.7,0.374,3.2,7.8,0.406,4.6,11.8,0.39,1.1,3.2,0.332,2007
Andres Nocioni,7.7,13.5,0.575,1.3,2.8,0.466,1.6,3.6,0.433,3.1,8,0.393,3.7,9.5,0.394,1.3,3.8,0.339,2007
Andrew Bogut,12.7,21.4,0.596,2.2,4.8,0.468,1.8,4.9,0.376,5.1,11.1,0.463,3.8,8.6,0.441,2.4,7.3,0.328,2007
Andrew Bynum,9.8,17.7,0.552,1.7,5.1,0.333,2,4.8,0.411,4.2,9.7,0.431,3.1,8.3,0.373,2,5.8,0.345,2007
Andris Biedrins,10,17.7,0.567,1.9,4.7,0.397,1.6,4.1,0.403,4.3,9.6,0.446,3.2,8,0.401,1.8,5,0.348,2007
Anfernee Hardaway,6.4,10.6,0.6,1.1,3.1,0.347,0.8,2.5,0.316,2.6,7.1,0.363,2.5,7,0.357,0.9,2.8,0.333,2007
Antawn Jamison,12.2,20,0.613,2.3,5.9,0.392,1.6,4.6,0.346,5.3,12.7,0.415,4.9,12.2,0.406,3,8,0.381,2007
Anthony Carter,10.2,17.5,0.581,1.8,4.7,0.383,1.7,4,0.417,4.4,10.2,0.433,4.3,10.8,0.4,1.9,5.3,0.36,2007
Anthony Johnson,8,13.1,0.607,1.6,4.1,0.388,1.1,2.9,0.384,2.9,7.6,0.376,2.1,5.5,0.372,1.6,4.3,0.381,2007
Anthony Parker,10.4,17.7,0.587,2.2,5.4,0.419,1.5,4.1,0.375,3.8,9,0.421,4.9,12.5,0.393,2,5.3,0.382,2007
Antoine Walker,6,9.6,0.629,1,2.7,0.381,0.6,2.3,0.272,2.3,5.3,0.431,3.2,8,0.398,1.1,3.9,0.287,2007
Antoine Wright,6.4,11.1,0.575,1.4,4,0.351,1,2.9,0.341,2.9,6.9,0.418,3.1,7.8,0.391,0.9,3.1,0.304,2007
Antonio Daniels,9.6,15.5,0.619,1.9,4.6,0.408,1.5,4,0.367,4.1,9.8,0.417,3.9,9.6,0.407,2.4,6,0.393,2007
Antonio McDyess,9.4,15.8,0.596,1.7,3.9,0.44,1.6,4.2,0.37,4.1,10,0.404,2.8,7.3,0.39,1.6,4.6,0.345,2007
Arron Afflalo,3.6,6.8,0.537,0.8,1.8,0.413,0.9,2.3,0.403,1.6,4.2,0.379,1.1,3.6,0.31,0.9,2.7,0.319,2007
Austin Croshere,3.8,5.9,0.64,1,2.7,0.387,0.6,1.8,0.333,1.2,3,0.387,1.5,4,0.381,0.8,2.2,0.363,2007
Awvee Storey,3,5,0.6,0.6,1.4,0.444,0.8,1.9,0.395,1.8,4.1,0.424,1.3,3.3,0.413,0.9,2.4,0.386,2007
Baron Davis,14.9,25.3,0.589,2.9,6.7,0.423,2.1,5.6,0.37,5.1,12,0.421,4.6,11,0.422,2.8,7.9,0.354,2007
Ben Gordon,10.1,17.7,0.568,1.8,4.2,0.435,2.1,4.9,0.434,4.2,10.3,0.41,4.5,11.2,0.401,1.8,4.9,0.362,2007
Ben Wallace,8.9,16.4,0.542,1.6,3.8,0.413,2.3,5.1,0.443,4.2,10,0.414,4.3,10.8,0.404,1.6,4,0.395,2007
Beno Udrih,11.3,18.2,0.619,2.6,6.4,0.407,1.6,4.2,0.381,3.5,9.4,0.369,4.5,11.5,0.395,1.5,4.8,0.322,2007
Billy Thomas,1.5,1.9,0.81,1,2,0.5,0.3,1.3,0.2,0.8,3,0.25,0.6,1.6,0.364,0.6,1.4,0.455,2007
Blake Ahearn,5.7,9.7,0.586,0.9,2.7,0.344,0.7,2.1,0.348,0.9,3.6,0.256,2,5.1,0.393,0.3,1.5,0.188,2007
Bo Outlaw,0.5,0.5,1,0,0,0,0.5,1,0.5,2,2,1,0.5,1,0.5,0,1,0,2007
Bobby Jackson,5.8,10.2,0.569,1.3,3.5,0.36,0.9,2.7,0.328,2.6,6.7,0.381,2,5.7,0.342,1.1,2.8,0.397,2007
Bobby Jones,3.7,6,0.619,1,2.3,0.443,0.9,2.2,0.426,1.5,3.7,0.411,1.4,4.4,0.317,0.9,2.5,0.364,2007
Bobby Simmons,7.7,12.4,0.621,1.2,2.7,0.452,1.1,2.9,0.377,2.9,6.9,0.422,2.2,5.2,0.417,1.7,4.6,0.38,2007
Bonzi Wells,5.6,10.3,0.548,1.4,3.3,0.426,1.3,3.3,0.406,2.9,6.7,0.429,2.8,7.2,0.386,1.3,3.9,0.327,2007
Boris Diaw,10.4,17.1,0.606,2.6,6.6,0.396,1.8,4.6,0.395,4,10.1,0.399,3.2,8.2,0.391,1.6,4.6,0.341,2007
Bostjan Nachbar,6.7,11.8,0.565,1.3,3.3,0.41,1.1,2.9,0.378,3.1,7.4,0.421,3.1,7.6,0.401,1.2,3.2,0.381,2007
Brad Miller,11.9,19,0.626,2.9,6.9,0.423,1.8,4.6,0.394,4.5,10.8,0.42,4.6,12.3,0.374,2,5.7,0.352,2007
Brandan Wright,3.5,6.3,0.555,0.9,2,0.477,0.9,1.6,0.54,1.4,3.6,0.378,1.2,3.9,0.306,0.9,2.4,0.385,2007
Brandon Bass,6.7,11.2,0.602,1.5,3.9,0.396,1.1,3.2,0.329,2.3,6.2,0.373,2.4,5.9,0.406,0.9,2.4,0.352,2007
Brandon Roy,13,21.9,0.591,2.9,6.5,0.443,1.6,5.3,0.302,4.3,9.9,0.437,5.7,15.1,0.375,1.1,3.5,0.313,2007
Brendan Haywood,8.6,14.3,0.597,1.6,4.2,0.369,1.3,3.4,0.373,4.2,9.9,0.427,3.8,9,0.421,2.2,5.6,0.396,2007
Brent Barry,6.1,10,0.606,1.5,3.5,0.436,1.4,3.4,0.419,2.5,5.6,0.449,2.1,5.3,0.388,1,2.8,0.341,2007
Brevin Knight,8.3,13.8,0.602,1.3,3.5,0.381,1.5,3.6,0.41,2.5,6.3,0.401,2.6,6.2,0.42,1.3,4,0.31,2007
Brian Cardinal,3.9,6.4,0.616,0.5,1.6,0.289,0.9,2.2,0.397,1.9,4.4,0.43,1.8,4.7,0.387,0.9,2.6,0.351,2007
Brian Cook,3.3,5.6,0.592,0.8,2.2,0.368,0.9,2.4,0.361,1.8,4.3,0.428,1.6,3.7,0.434,1,2.6,0.395,2007
Brian Scalabrine,3.4,5.8,0.577,0.6,1.6,0.387,0.9,2.1,0.415,0.8,3.2,0.257,1.1,3.7,0.302,0.7,2.3,0.295,2007
Brian Skinner,4.8,8.5,0.569,1.2,3.1,0.377,0.9,2.4,0.388,2.1,4.6,0.452,1.5,3.9,0.381,0.8,2.6,0.327,2007
Bruce Bowen,9.1,16.1,0.567,2.1,5.5,0.394,2,5,0.388,4.4,10.6,0.413,3.3,8.8,0.371,1.2,3.5,0.359,2007
C.J. Watson,4.9,8.2,0.599,1.1,2.5,0.433,0.6,1.8,0.341,0.9,3,0.31,1.5,4.3,0.341,0.9,2.8,0.32,2007
CJ Miles,3.7,5.9,0.624,0.6,1.8,0.337,0.6,1.9,0.297,1.4,3.2,0.432,1.8,4.8,0.364,0.7,1.7,0.391,2007
Calvin Booth,2.1,3.9,0.537,0.5,1.1,0.4,0.5,1.1,0.462,1,2.1,0.475,0.6,2.3,0.286,0.6,1.6,0.361,2007
Carl Landry,5.3,9.1,0.578,1.4,3.8,0.381,1.2,2.7,0.436,2.3,5.3,0.428,1.4,4.5,0.309,1,2.7,0.358,2007
Carlos Arroyo,6.3,10.7,0.591,1.5,3.7,0.402,1.6,4.4,0.355,2.9,6.8,0.422,2.6,6.4,0.407,1.4,3.6,0.396,2007
Carlos Boozer,12.7,20.3,0.627,2.3,5.6,0.405,1.6,4.4,0.36,3.5,8.6,0.406,5.3,13.8,0.387,1.3,3.7,0.345,2007
Carlos Delfino,7.5,12.2,0.619,1.3,3.4,0.397,1,2.5,0.395,2.7,6.4,0.417,3.7,9.7,0.384,1.4,4.1,0.339,2007
Carmelo Anthony,13.4,22.2,0.601,2.4,6.3,0.374,1.9,4.9,0.388,5.6,12.9,0.437,5.5,14,0.395,2.3,6.6,0.348,2007
Caron Butler,12.5,20.8,0.603,2.5,5.8,0.439,1.6,5,0.325,5.1,12.6,0.404,5.3,12.6,0.422,3.1,8,0.38,2007
Casey Jacobsen,3.7,6,0.616,0.9,2.2,0.404,0.7,1.8,0.388,1.6,3.7,0.422,1.6,3.5,0.457,0.7,2.5,0.296,2007
Cedric Simmons,1.9,3.8,0.509,0.4,1,0.444,0.4,1.7,0.267,0.6,2,0.286,1.3,3,0.444,0.8,2,0.375,2007
Channing Frye,5.5,8.9,0.62,1,2.6,0.403,0.9,2.8,0.31,1.8,4.7,0.393,2.7,7.2,0.376,0.8,2.4,0.331,2007
Charlie Bell,8.6,14.8,0.583,1.3,2.9,0.464,1.2,3.3,0.381,2.7,6.6,0.413,2.5,6,0.427,1.8,5.2,0.352,2007
Charlie Villanueva,9.5,15.4,0.613,1.5,3.2,0.461,1.4,3.5,0.405,3.4,7.5,0.454,2.5,6.2,0.408,1.7,5,0.34,2007
Chauncey Billups,10.1,17.3,0.583,1.7,4.4,0.392,1.7,4.6,0.372,4.3,10.9,0.396,3.3,8.4,0.388,1.9,5.3,0.367,2007
Cheikh Samb,3.8,7,0.536,0.7,0.7,1,0.3,1.7,0.2,0.3,0.8,0.333,0.5,1.3,0.4,0,2,0,2007
Chris Andersen,2.6,5.4,0.481,0.3,1,0.333,0.3,1,0.25,0.8,1.5,0.5,0.8,2,0.4,0.8,1.8,0.429,2007
Chris Bosh,10.8,18.8,0.575,2.5,6.2,0.414,1.8,4.8,0.372,4.2,10.3,0.413,5.6,14.2,0.398,2.2,5.8,0.381,2007
